,title,url,Unnamed: 2
107,Coronavirus vs. flu: How are they similar and how do they differ? | USA TODAY,https://www.youtube.com/watch?v=9QU7sR1uC78,
108,Coronavirus explained: Why tracking the deadly disease is a huge challenge | Just The FAQs,https://www.youtube.com/watch?v=D31NoaxXgbU,
109,Trump says he's taking hydroxychloroquine to prevent coronavirus | USA TODAY,https://www.youtube.com/watch?v=-_ME5s9479Q,
110,"CVS, Walgreens and Kroger will expand free coronavirus testing | USA TODAY",https://www.youtube.com/watch?v=1Q6CUcwPHWk,
111,U.S. Health and Human Services leaders discuss coronavirus | USA TODAY,https://www.youtube.com/watch?v=MBzLzueoMzY,
112,How this small guitar company has survived COVID-19 without layoffs | USA TODAY,https://www.youtube.com/watch?v=g1kWLQq3ePM,
115,Coronavirus is sparking fears it could become a pandemic - here's why | Just The FAQs,https://www.youtube.com/watch?v=IfR5LUNFLyU,
116,Coronavirus outbreak: City of Wuhan recorded by American teacher | USA TODAY,https://www.youtube.com/watch?v=5i0eoCEzdQ0,
118,"President Trump and Coronavirus Task Force provide update, Saturday, April 18 | USA TODAY",https://www.youtube.com/watch?v=-2tc45z6ZUk,
119,Gov. Andrew Cuomo holds coronavirus briefing in New York | USA TODAY,https://www.youtube.com/watch?v=r8Ohb9dl95s,
120,Trump says he's taking hydroxychloroquine to prevent coronavirus | USA TODAY,https://www.youtube.com/watch?v=-_ME5s9479Q,
121,High school seniors uncertain about life graduation | Coronavirus Chronicles,https://www.youtube.com/watch?v=mjOPaIMW-ow,
123,Could coronavirus lead to a global recession? Here are the signs to look out for | Just The FAQs,https://www.youtube.com/watch?v=MLbxaCYgmpI,
124,How coronavirus is affecting minority groups and people of color | Coronavirus Conversations,https://www.youtube.com/watch?v=IkSrxvQqazg,
125,World Health Organization discusses the novel coronavirus | USA TODAY,https://www.youtube.com/watch?v=Ikf50jPC-kQ,
126,White House coronavirus update: More states enforcing stay-at-home orders | USA TODAY,https://www.youtube.com/watch?v=bR-ZnBjMo_U,
127,How single parents are making it work in a coronavirus reality | Coronavirus Chronicles,https://www.youtube.com/watch?v=armK_x91jqo,
129,Coronavirus patient posts videos of journey through virus treatment | USA TODAY,https://www.youtube.com/watch?v=29FguJYrmTA,
130,President Donald Trump addresses the coronavirus outbreak | USA TODAY,https://www.youtube.com/watch?v=83Jv8ILl0Tw,
131,Gov. Murphy: New Jersey schools closed rest of academic year due to COVID-19 | USA TODAY,https://www.youtube.com/watch?v=rbmFq-e0dao,
135,WHO gives briefing on coronavirus outbreak | USA TODAY,https://www.youtube.com/watch?v=85ZX3v6z1uQ,
137,"President Trump and coronavirus task force provide update, Wednesday, April 15 | USA TODAY",https://www.youtube.com/watch?v=fhSS14mPk10,
139,Gov. Andrew Cuomo holds a press conference on coronavirus | USA TODAY,https://www.youtube.com/watch?v=IzTkNUEYwCk,
140,How to keep the romance alive under quarantine | Coronavirus Conversations,https://www.youtube.com/watch?v=cKj5GHtl6pk,
141,President Trump and task force update on coronavirus pandemic | USA TODAY,https://www.youtube.com/watch?v=s-NWKUOlNIg,
143,"President Trump and Coronavirus Task Force provide update, Tuesday, April 21 | USA TODAY",https://www.youtube.com/watch?v=RZtpozTSZhc,
144,How the CARES Act will affect mortgages | Coronavirus Conversations,https://www.youtube.com/watch?v=ZYylVbrBvAM,
147,President Trump defends downplaying COVID ahead of Bob Woodward book | USA TODAY,https://www.youtube.com/watch?v=JYiDMWGxvEc,
148,President Trump gives oval office address regarding coronavirus outbreak | USA TODAY,https://www.youtube.com/watch?v=uxzgsMfUCog,
149,"The best way to wash your hands to help prevent diseases, like coronavirus | Just The FAQs",https://www.youtube.com/watch?v=mcOdaqQ_IAU,
150,"President Trump and coronavirus task force brief press, Friday, April 24 | USA TODAY",https://www.youtube.com/watch?v=EJEonPa0w_8,
152,Gov. Andrew Cuomo gives updates on coronavirus pandemic in New York | USA TODAY,https://www.youtube.com/watch?v=eFV_Js1-bZU,
153,President Trump holds coronavirus press briefing - August 4 | USA TODAY,https://www.youtube.com/watch?v=9BzuOMJxcC4,
155,Americans fight to get home amid coronavirus lockdowns | USA TODAY,https://www.youtube.com/watch?v=6Dsq2acb0HU,
156,Service workers discuss their struggles in new economy under pandemic | Coronavirus Chronicles,https://www.youtube.com/watch?v=4wcYHxzHKfE,
157,New York Gov. Andrew Cuomo holds coronavirus briefing | USA TODAY,https://www.youtube.com/watch?v=7_G4keY0Z30,
161,"What's in the $2T stimulus package? | Coronavirus Conversations, EP3",https://www.youtube.com/watch?v=TYbYDlsmT9Q,
162,Bernie Sanders addresses coronavirus crisis | USA TODAY,https://www.youtube.com/watch?v=PkcBmFhRGIc,
